"anio","semana","escala","modelo","formula","vif_max","colineal","n","MAE","RMSE","sesgo","R2"
2013,1,"raiz","Mxy_R",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia",35.1791762182785,TRUE,686,7.46898669687708,14.4472159749254,-2.91209199415568,0.745925543669657
2013,1,"raiz","Mxy_TR",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",58.2341542027564,TRUE,686,7.4899129214492,14.4789718583743,-2.90509601214552,0.744807373052564
2013,1,"raiz","Mxy_TA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + altitud_m",44.0589220786458,TRUE,686,9.07870131436784,16.9411059854331,-4.0638410723994,0.650637575006715
2013,1,"raiz","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",37.4158505791491,TRUE,686,7.45648326861174,14.4064251248845,-2.90827024013513,0.747358246291548
2013,1,"raiz","Mxy_TRA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",72.2772760583554,TRUE,686,7.47305421216485,14.4304825062311,-2.90281254490666,0.746513765621084
2013,1,"log1p","M0",".respuesta ~ 1",NA,FALSE,686,16.549974796224,31.4730086479387,-12.9821815671888,-0.205783111377271
2013,1,"log1p","Mxy",".respuesta ~ x_km + y_km",1.3544415662,FALSE,686,10.0114383239185,20.1014105727711,-6.69351710708601,0.5081352009128
2013,1,"log1p","Malt",".respuesta ~ altitud_m",1,FALSE,686,14.0619673680746,27.0910519454886,-10.8663881555753,0.106603158878588
2013,1,"log1p","MT",".respuesta ~ temperatura_bilineal_c",1,FALSE,686,10.9733852057256,21.4568675546356,-8.1528690909181,0.439564915252803
2013,1,"log1p","MR",".respuesta ~ radiacion_bilineal_mj_m2_dia",1,FALSE,686,12.652105028616,23.9911455483348,-9.65397855944043,0.299360455455202
2013,1,"log1p","MTR",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",7.71236308856383,FALSE,686,11.032890480096,21.855797639141,-8.16006797080753,0.418531762695322
2013,1,"log1p","MTA",".respuesta ~ temperatura_bilineal_c + altitud_m",1.83544774866545,FALSE,686,10.730792110396,20.81455706061,-7.85120855421113,0.472615913154148
2013,1,"log1p","MRA",".respuesta ~ radiacion_bilineal_mj_m2_dia + altitud_m",1.98050316944327,FALSE,686,12.2303625005772,23.1875083377131,-9.31604975270407,0.345513277077803
2013,1,"log1p","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",8.36441112419095,FALSE,686,10.7213939479455,21.1910524372868,-7.71519124185975,0.453364633064275
2013,1,"log1p","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,FALSE,686,9.969712658291,20.0102435827959,-6.7183925684969,0.512586644385117
2013,1,"log1p","Mxy_T",".respuesta ~ x_km + y_km + temperatura_bilineal_c",29.7419796650132,TRUE,686,9.94539965307875,19.991194516522,-6.88591292349517,0.513514204300555
2013,1,"log1p","Mxy_R",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia",35.1791762182785,TRUE,686,10.5163178452177,23.6118881352404,-3.04352386581242,0.321337099986878
2013,1,"log1p","Mxy_TR",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",58.2341542027564,TRUE,686,9.69326758010459,20.3250672104669,-3.75150168329115,0.49712892563665
2013,1,"log1p","Mxy_TA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + altitud_m",44.0589220786458,TRUE,686,9.94065384681519,19.8647543263729,-7.01394122001006,0.519648588429373
2013,1,"log1p","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",37.4158505791491,TRUE,686,10.4672305257476,23.4143223025469,-3.06724435595923,0.33264662841905
2013,1,"log1p","Mxy_TRA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",72.2772760583554,TRUE,686,9.29736876362484,19.0395165728575,-3.98304897865,0.558729892179901
2014,1,"original","M0",".respuesta ~ 1",NA,FALSE,686,13.0535275869468,17.4853881408709,6.40441700320394e-16,-0.00292183920294109
2014,1,"original","Mxy",".respuesta ~ x_km + y_km",1.3544415662,FALSE,686,9.34902516357808,13.4169645067181,-0.0126279317161232,0.409492965248939
2014,1,"original","Malt",".respuesta ~ altitud_m",1,FALSE,686,11.6264799787728,15.6500470905231,-0.0133476864586136,0.196570393878005
