"anio","semana","n_celdas","estado","escala","modelo","formula","vif_max","MAE","RMSE","sesgo","R2","moran_I","moran_p","familia","nugget","psill","range_km","SSE","tipo_kriging","RMSE_mcg_kriging","MAE_mcg_kriging","sesgo_mcg_kriging","R2_predictivo_mcg_kriging","n_validacion_kriging","cobertura95_escala","validacion"
2012,29,686,"FINAL_KRIGING","raiz","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",2.63871682093177,21.9414023307044,30.7650890010442,-4.47580032147526,0.787601057165599,0.898253813563646,0.005,"gaussiano",0.395864387870301,5.15444224875646,46.5345520877496,0.643951892420738,"universal",6.73343375355604,4.5328664870378,-0.474348408434007,0.989825591215522,686,0.940233236151603,"LOO_condicional_covarianza_fija"
2013,29,686,"REVISAR_COVARIANZA","raiz","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,23.7642098648821,35.0322900013356,-3.8578828024391,0.859113295616863,0.942848918228813,0.005,"gaussiano",0,4.60078862660882,37.1518599264851,2.28629178984012,NA,NA,NA,NA,NA,NA,NA,NA
2014,29,686,"FINAL_KRIGING","log1p","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",5.28301047716594,4.80339985520261,9.07960200529658,-0.0233712853808869,0.917802858827784,0.703476310729441,0.005,"esferico",0.027362974797059,0.226257616511114,37.8902968769002,0.000854246171379279,"universal",2.62492141265812,1.34402895261788,-0.184097625159072,0.993130016404554,686,0.938775510204082,"LOO_condicional_covarianza_fija"
2015,29,686,"FINAL_KRIGING","raiz","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",7.59910877371415,6.19600726722106,10.3128731017774,-1.74110158429989,0.878655669559639,0.574353295301431,0.005,"esferico",0.337244037244871,1.39957598645487,24.6565253209454,0.406882310703205,"universal",5.24832469716416,3.07138536503015,-0.816651733696705,0.968573100757322,686,0.941690962099125,"LOO_condicional_covarianza_fija"
2016,29,686,"FINAL_KRIGING","raiz","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",9.71269919111981,8.79415675162745,14.0619458242624,-2.71592301009421,0.32956854391457,0.786094579390005,0.005,"exponencial",0,2.94344414423796,31.332374848373,0.0920249107400907,"universal",4.998756355856,2.85520252580136,-0.469867435476847,0.915279700835749,686,0.932944606413994,"LOO_condicional_covarianza_fija"
2017,29,686,"FINAL_KRIGING","raiz","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,9.88736725297895,16.383161677869,-3.74086006816107,0.699368922277508,0.771982241765014,0.005,"esferico",0.286229797179594,3.62257747025495,62.14729776187,0.170156676231314,"universal",5.01262756937607,2.94419332582169,-0.743226879816048,0.971857069623856,686,0.946064139941691,"LOO_condicional_covarianza_fija"
2018,29,686,"FINAL_KRIGING","raiz","Mxy",".respuesta ~ x_km + y_km",1.3544415662,8.27849464662351,13.1164052347156,-1.41602935198648,0.903258146526507,0.758673338946922,0.005,"exponencial",0.329269139090396,1.31479569188675,41.0920658215659,0.0564928336122365,"universal",4.78273885926851,3.12502597048203,-0.488106354486182,0.987137123805094,686,0.972303206997085,"LOO_condicional_covarianza_fija"
2019,29,686,"FINAL_KRIGING","log1p","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,8.27016527098474,10.8624174605987,-3.11505222035814,0.804511237107865,0.724290043494363,0.005,"esferico",0.0473447943269316,0.31248291307314,60.4969164093792,0.000302924157845951,"universal",5.25033106017113,3.33084417590613,-0.605915447923199,0.954328823746794,686,0.944606413994169,"LOO_condicional_covarianza_fija"
2020,29,686,"FINAL_KRIGING","log1p","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,7.41571872661064,11.8143847996567,-3.06548243264247,0.671341265731972,0.711365076927769,0.005,"exponencial",0.0203430975921598,0.320765266806574,23.8102947740983,0.000364045003993326,"universal",5.84769945212182,2.93575859111053,-0.682828462538843,0.91948198835369,686,0.938775510204082,"LOO_condicional_covarianza_fija"
2021,29,686,"FINAL_KRIGING","log1p","MT",".respuesta ~ temperatura_bilineal_c",1,8.4658127889017,10.9988427973148,-1.9821148287898,0.919014742997778,0.818110494573442,0.005,"esferico",0.0504402497522775,0.569153908601306,131.758263817358,0.00134224744854653,"universal",3.745693201077,2.54826711322851,-0.286995915679064,0.990607604314368,686,0.940233236151603,"LOO_condicional_covarianza_fija"
2022,29,686,"FINAL_KRIGING","original","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",2.58062891839628,6.5951572799581,8.45403732103487,-0.00379923540959689,0.106726368955922,0.764714709229842,0.005,"esferico",5.93645286884819,71.4795578603183,75.4793984851462,199.475998720344,"universal",3.92487826011797,2.64518736951079,-0.00742877114499789,0.807465494568926,686,0.935860058309038,"LOO_condicional_covarianza_fija"
2023,29,686,"FINAL_KRIGING","log1p","Mxy_R",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia",9.90692845077284,5.82942986247427,9.3347331774509,-1.14744661716428,0.87909676214554,0.695195722961725,0.005,"esferico",0.0249934993549275,0.15657878872186,58.3449711958374,0.000318549885272875,"universal",3.127147076197,1.80804675662546,-0.192705216260222,0.986431534668546,686,0.957725947521866,"LOO_condicional_covarianza_fija"
