"anio","semana","media","mediana","sd","minimo","maximo","n_validos","corte"
2025,51,44.5997180744093,41.2306461334229,22.1212062740445,0,115.458847045898,686,"2025_banda_51"
2013,52,44.8160358504026,47.6841049194336,30.3902576017952,0,133.170776367188,686,"2013_banda_52"
2023,43,44.9274013230126,30.0551271438599,37.8402640993605,5.74055480957031,184.300079345703,686,"2023_banda_43"
2019,49,44.9727904789649,30.7880554199219,38.5118456781258,0,152.620590209961,686,"2019_banda_49"
2019,15,44.9895967255528,44.8222732543945,19.2782183157726,0,108.632339477539,686,"2019_banda_15"
2023,35,45.1274699553109,40.8387851715088,20.1106202614518,14.4618396759033,102.17643737793,686,"2023_banda_35"
2011,33,45.1588811606777,8.95432376861572,70.314011927121,0,320.435272216797,686,"2011_banda_33"
2023,12,45.3503445842176,41.9416313171387,16.3529914962948,15.3144559860229,101.478225708008,686,"2023_banda_12"
2012,47,45.4037346210841,25.2880344390869,53.9591818002335,0,349.135711669922,686,"2012_banda_47"
2015,10,45.4112263803232,37.9898090362549,25.9669665548191,0,131.874282836914,686,"2015_banda_10"
2021,39,45.4632484141314,31.2701578140259,46.4488640963663,0,260.753051757812,686,"2021_banda_39"
2013,4,45.4921448091724,23.7837696075439,42.9085983704895,0,183.02409362793,686,"2013_banda_04"
2020,34,45.5190675251686,44.2428321838379,16.7425981418392,17.5082626342773,97.2833023071289,686,"2020_banda_34"
2013,14,45.5240978499543,30.3910179138184,38.7467074924616,8.86765003204346,201.373138427734,686,"2013_banda_14"
2025,22,45.5280938829695,32.4437618255615,36.1982916593608,11.9537258148193,234.589080810547,686,"2025_banda_22"
2021,2,45.6461528960192,37.5317821502686,35.3884793762612,0,178.331771850586,686,"2021_banda_02"
2014,20,45.6738226761276,29.0445041656494,36.6870293091029,2.84558725357056,158.961120605469,686,"2014_banda_20"
2017,15,45.9427273391635,42.8931369781494,15.2095890547802,16.1351909637451,117.139236450195,686,"2017_banda_15"
2019,10,46.0698107206439,46.6707916259766,22.1111622160985,7.11780405044556,124.939331054688,686,"2019_banda_10"
2014,37,46.2065094987436,21.2396402359009,57.5139921022153,0,270.814392089844,686,"2014_banda_37"
2015,40,46.2150468381431,40.4445400238037,25.2281881989755,14.2537689208984,140.33610534668,686,"2015_banda_40"
2023,26,46.3083534796801,34.6230792999268,35.4997206128592,7.71066617965698,203.285903930664,686,"2023_banda_26"
2014,48,46.4080254823056,27.023003578186,46.7837642284968,0,182.737823486328,686,"2014_banda_48"
2023,34,46.5762798907805,31.3914890289307,51.3205801986311,0,306.351165771484,686,"2023_banda_34"
2022,13,46.5977170307504,44.0774326324463,19.5606396178446,6.9926700592041,116.25407409668,686,"2022_banda_13"
2018,14,46.8470329459833,45.4098014831543,19.380315632315,0,105.015884399414,686,"2018_banda_14"
2017,2,47.0140479326943,42.653284072876,21.8633309179107,10.5166244506836,115.725067138672,686,"2017_banda_02"
2017,14,47.2886178458745,40.9347438812256,22.6838210573476,9.4795503616333,122.158599853516,686,"2017_banda_14"
2025,12,47.5043263866324,37.1222019195557,31.0178587913912,8.05981731414795,146.095901489258,686,"2025_banda_12"
2014,27,47.5905125579055,31.1212854385376,44.985896587453,0,270.089904785156,686,"2014_banda_27"
2023,52,47.6309278935802,36.0760192871094,38.6248962096502,5.60555744171143,239.770324707031,686,"2023_banda_52"
2016,21,47.6511691923392,24.4310188293457,51.9066658253017,0,205.248962402344,686,"2016_banda_21"
2014,15,47.6694188402971,30.4306116104126,38.930008024436,0,142.971771240234,686,"2014_banda_15"
2015,21,47.6840227526061,31.1017417907715,40.1961386056796,0,146.173278808594,686,"2015_banda_21"
2023,48,47.7969467911011,34.8350734710693,36.5455768149977,0,177.385620117188,686,"2023_banda_48"
2020,18,47.8932931725555,40.6706562042236,28.0054694910601,3.69246053695679,128.900253295898,686,"2020_banda_18"
2014,10,47.9300969640993,41.0483074188232,27.6993997259198,9.88937568664551,143.829055786133,686,"2014_banda_10"
2020,23,47.9530539887987,44.9785251617432,21.5252907908537,8.39934349060059,145.349838256836,686,"2020_banda_23"
2014,38,48.0642323771997,42.4115829467773,24.6234993745387,0,147.467071533203,686,"2014_banda_38"
2016,37,48.2919973548578,36.7949829101562,41.3597039916321,0,250.813949584961,686,"2016_banda_37"
2014,39,48.4342115766453,32.1430206298828,47.6003516888002,0,260.123260498047,686,"2014_banda_39"
2022,15,48.4848488357255,46.5494003295898,23.7460943750631,0,133.674468994141,686,"2022_banda_15"
2023,15,48.9172053629038,48.2536716461182,12.9863821236652,18.1558647155762,97.9271545410156,686,"2023_banda_15"
2020,11,48.9430113346167,42.4008674621582,28.5599406039476,0,125.067977905273,686,"2020_banda_11"
2015,4,48.9966851865585,39.9840869903564,30.7391425312301,0,142.673065185547,686,"2015_banda_04"
2010,7,49.1159076078988,19.0639991760254,58.6258733897413,5.15189123153687,243.673812866211,686,"2010_banda_07"
2025,32,49.1274106349611,46.0450572967529,26.0650739872697,2.434645652771,153.451293945312,686,"2025_banda_32"
2023,1,49.3405578828066,46.7890510559082,29.7252721596964,0,196.232284545898,686,"2023_banda_01"
2010,35,49.412036864125,42.7775897979736,28.5602520159538,0,196.669387817383,686,"2010_banda_35"
2023,20,49.6411861038764,42.4705142974854,22.9135854520086,15.4916620254517,132.995223999023,686,"2023_banda_20"
2013,24,49.6437228574002,17.7835607528687,65.8248272718387,0,313.220550537109,686,"2013_banda_24"
2012,28,49.6934383424656,17.2517328262329,72.9037862614663,0,309.041412353516,686,"2012_banda_28"
2015,28,49.782084941864,35.7574253082275,39.7977237380859,9.6373233795166,192.543441772461,686,"2015_banda_28"
2022,32,49.8272872045853,42.4648284912109,38.8422675285916,0,279.201049804688,686,"2022_banda_32"
2021,40,49.8355018526055,34.9736919403076,43.7231065223727,0,165.458694458008,686,"2021_banda_40"
2025,23,49.912553553331,29.4899444580078,50.2861197965366,0,244.885101318359,686,"2025_banda_23"
2012,11,50.2037583829363,38.5363712310791,31.7730693927904,11.0883932113647,146.695098876953,686,"2012_banda_11"
2012,49,50.2097342737215,30.8963499069214,55.3961171304019,0,245.989807128906,686,"2012_banda_49"
2014,26,50.2477766025171,31.6928739547729,46.4880697856654,0,209.955902099609,686,"2014_banda_26"
2012,16,50.4605707427156,48.5015106201172,16.3690009988305,13.6694641113281,101.155006408691,686,"2012_banda_16"
2024,32,50.5663623594334,24.3681926727295,59.8027754771125,0,263.072723388672,686,"2024_banda_32"
2023,2,50.6529837745967,47.9371643066406,23.7788084602835,0,146.520324707031,686,"2023_banda_02"
2021,12,50.8678653539096,42.984058380127,21.4135976074997,18.2647933959961,148.414794921875,686,"2021_banda_12"
2021,22,50.9980921634085,43.8005104064941,33.817613276607,0,160.861709594727,686,"2021_banda_22"
2013,38,51.1475288680274,17.9299964904785,70.204624003888,0,365.944519042969,686,"2013_banda_38"
2015,50,51.1608015712427,44.6462211608887,34.0871798220575,0,152.618728637695,686,"2015_banda_50"
2012,26,51.2722104568871,25.6538572311401,58.9221945366752,3.10756611824036,291.906311035156,686,"2012_banda_26"
2011,51,51.2992125697456,0,62.3716085278547,0,368.167602539062,686,"2011_banda_51"
2023,8,51.3552076385598,47.1757316589355,23.619212187475,0,118.331382751465,686,"2023_banda_08"
2014,7,51.3756883220839,31.0002145767212,46.4268660565513,0,219.748031616211,686,"2014_banda_07"
2012,23,51.590191061747,10.9339375495911,74.7245316714229,0,289.542633056641,686,"2012_banda_23"
2019,17,51.5977946856974,49.294153213501,17.2672815377442,22.9998359680176,106.621322631836,686,"2019_banda_17"
2012,10,51.6510621736766,42.5690097808838,31.9075111330772,0,163.098190307617,686,"2012_banda_10"
2017,24,51.9333439592717,38.5395374298096,40.0107842753376,3.42242741584778,266.425689697266,686,"2017_banda_24"
2019,13,51.9603915311852,47.9552345275879,20.5642506395524,18.893798828125,115.249290466309,686,"2019_banda_13"
2010,23,51.9607263716595,46.1020221710205,29.5944387003193,0,203.595291137695,686,"2010_banda_23"
2021,17,52.0155742529877,46.5814247131348,22.1623277160002,5.63463449478149,121.720809936523,686,"2021_banda_17"
2024,23,52.0830710900421,33.9892253875732,44.4886243930321,0,226.142959594727,686,"2024_banda_23"
2019,19,52.1009999767337,32.6704082489014,41.5236094736833,0,170.522064208984,686,"2019_banda_19"
2022,48,52.1113528190479,31.1347007751465,53.2917008331805,0,229.316665649414,686,"2022_banda_48"
2013,34,52.1538926182266,27.3760232925415,60.0226603564193,0,254.164916992188,686,"2013_banda_34"
2021,36,52.2935925704745,40.954418182373,37.7432014088545,0,154.90412902832,686,"2021_banda_36"
2011,26,52.4504380657096,29.413782119751,53.800520468721,0,268.690643310547,686,"2011_banda_26"
2025,52,52.4780207556121,46.8699626922607,32.4023875925832,0,157.907989501953,686,"2025_banda_52"
2021,10,52.479405458745,42.7183570861816,24.9283578080683,0,135.642868041992,686,"2021_banda_10"
2021,37,52.5096404851352,43.177074432373,32.6026839867896,0,199.473114013672,686,"2021_banda_37"
2010,6,52.571539955306,33.7203903198242,41.2888272317261,0,165.744201660156,686,"2010_banda_06"
2013,25,52.6007529650068,16.4433898925781,66.6533018436913,0,309.153411865234,686,"2013_banda_25"
2015,41,52.7550510665071,35.1649208068848,40.6723698544905,0,180.968322753906,686,"2015_banda_41"
2012,30,52.8445745703083,18.0668544769287,67.0059690139247,5.33449840545654,276.347473144531,686,"2012_banda_30"
2019,40,52.8560613487622,43.2084465026855,28.5744655531725,16.4611511230469,161.627029418945,686,"2019_banda_40"
2022,39,53.0655630462024,48.0306377410889,18.2187235261265,23.4610176086426,126.58113861084,686,"2022_banda_39"
2013,40,53.1721772932103,24.5748872756958,56.7520316799423,0,262.081512451172,686,"2013_banda_40"
2019,11,53.262246643489,41.0750427246094,30.3097570228121,9.01684856414795,154.48046875,686,"2019_banda_11"
2024,52,53.3204488448429,45.8849391937256,36.3910134628098,0,236.229522705078,686,"2024_banda_52"
2023,40,53.6198365584059,36.5924549102783,45.019469925644,7.13378238677979,197.096984863281,686,"2023_banda_40"
2013,23,53.793385122156,14.1310434341431,76.297420105355,0,288.328186035156,686,"2013_banda_23"
2020,42,54.0310848711531,43.134880065918,40.0496597242425,0,199.021697998047,686,"2020_banda_42"
2018,7,54.1058358492726,44.281213760376,33.2959008920194,0,162.76936340332,686,"2018_banda_07"
2022,49,54.1234722867304,47.7368297576904,41.8147488170188,0,229.076797485352,686,"2022_banda_49"
2020,4,54.2453903665348,47.1786994934082,28.3941812376405,0,137.444854736328,686,"2020_banda_04"
2012,31,54.3216115326645,16.7449035644531,75.7765484031192,0,325.862915039062,686,"2012_banda_31"
2016,25,54.321668980073,35.8021469116211,54.8118604317286,0,290.814483642578,686,"2016_banda_25"
2022,22,54.3859990011499,46.4726161956787,30.447496369721,9.29067420959473,147.637115478516,686,"2022_banda_22"
2022,26,54.4026123309622,42.5060234069824,43.3036535194961,4.80697250366211,221.085144042969,686,"2022_banda_26"
2017,3,54.4109390108648,53.5682582855225,26.9386964652913,8.63017177581787,122.309478759766,686,"2017_banda_03"
2013,15,54.4629463864485,31.9829578399658,58.2763218287229,0,274.111846923828,686,"2013_banda_15"
2018,21,54.474672161803,42.0353946685791,39.723121014429,0,152.300231933594,686,"2018_banda_21"
2019,14,54.5018409153463,56.1440181732178,15.3799299158769,0,100.904205322266,686,"2019_banda_14"
2011,3,54.662050279862,21.9962043762207,68.848705792848,0,324.383605957031,686,"2011_banda_03"
2011,27,54.886293937444,35.1003742218018,47.6194441286387,6.55135011672974,262.268981933594,686,"2011_banda_27"
2018,1,54.8929074165077,45.4733390808105,43.9280856895037,0,208.72624206543,686,"2018_banda_01"
2021,1,54.9064108442635,43.8490543365479,41.7271595629255,0,234.78498840332,686,"2021_banda_01"
2015,16,54.9190786378377,55.4914493560791,19.5740215003072,17.656530380249,122.529876708984,686,"2015_banda_16"
2015,48,55.0411617769792,43.9667339324951,47.3341536594278,0,175.349136352539,686,"2015_banda_48"
2016,39,55.0633286971045,34.3127574920654,41.7505642541441,10.605339050293,152.270812988281,686,"2016_banda_39"
2022,21,55.1007845853578,51.8512592315674,29.2919497308857,0,143.368011474609,686,"2022_banda_21"
2011,13,55.1520099584285,45.5163078308105,30.8658784684629,17.9241180419922,197.644683837891,686,"2011_banda_13"
2017,37,55.3152316273475,34.3850040435791,48.0552328851939,0,212.825103759766,686,"2017_banda_37"
2025,15,55.599652515556,53.3812026977539,13.724876116832,14.6211795806885,102.239524841309,686,"2025_banda_15"
2022,9,55.6509742681209,40.541109085083,49.5978380880337,0,259.583068847656,686,"2022_banda_09"
2022,45,55.748898835641,46.9896488189697,34.4843566614867,0,219.593643188477,686,"2022_banda_45"
2014,11,55.7900203170999,52.1517448425293,22.2180428020783,18.2644691467285,124.80192565918,686,"2014_banda_11"
2012,29,55.9196234778135,25.7080631256104,66.8034316537193,0,294.686126708984,686,"2012_banda_29"
2024,27,55.9652377426103,44.7152252197266,34.8712308498243,0,228.315994262695,686,"2024_banda_27"
2014,4,55.9845335824149,28.9894304275513,47.238281256552,10.0179977416992,187.395202636719,686,"2014_banda_04"
2011,21,55.9915277603416,38.6357803344727,56.2427288609678,0,285.273864746094,686,"2011_banda_21"
2013,19,56.0495464961661,35.212474822998,48.8054706665325,13.6905164718628,249.321578979492,686,"2013_banda_19"
2014,8,56.0935016606361,45.458927154541,38.1504570623469,0,197.886505126953,686,"2014_banda_08"
2015,22,56.1210589624355,27.7523632049561,54.884616469774,0,188.190856933594,686,"2015_banda_22"
2018,41,56.2086639793552,51.4259166717529,23.2993737684449,16.5265998840332,157.508987426758,686,"2018_banda_41"
2018,37,56.2328996713933,57.8798351287842,31.083786106281,0,185.428680419922,686,"2018_banda_37"
2025,9,56.2377466408226,48.3761501312256,32.8075193738944,3.60138440132141,142.1748046875,686,"2025_banda_09"
2022,17,56.4750496653009,53.540340423584,24.441708313421,10.084171295166,130.741516113281,686,"2022_banda_17"
2019,12,56.5394860043818,56.5467796325684,21.3417748976574,0,119.455627441406,686,"2019_banda_12"
2023,16,56.5420371019458,55.7300262451172,19.4368065141827,19.2421016693115,110.288223266602,686,"2023_banda_16"
2013,44,56.5755365318877,46.9847660064697,33.2275718540766,10.4046621322632,178.855651855469,686,"2013_banda_44"
2018,12,56.7970544520342,53.9777278900146,16.6990883743721,22.6713123321533,106.121032714844,686,"2018_banda_12"
2022,10,56.8744413192349,56.8590469360352,21.0789024058933,0,148.064529418945,686,"2022_banda_10"
2021,46,56.9532290700573,50.7190475463867,39.4155864513601,0,247.734329223633,686,"2021_banda_46"
2025,38,57.0304033651991,49.5299205780029,31.6389938975754,18.1322441101074,209.760772705078,686,"2025_banda_38"
2015,49,57.0829421799663,55.7523193359375,30.2566701197818,12.9697246551514,126.99195098877,686,"2015_banda_49"
2022,40,57.1105097542699,39.3544006347656,47.1003645560121,5.92489051818848,219.774169921875,686,"2022_banda_40"
2016,18,57.139977020703,56.769079208374,20.2730852267489,5.15548372268677,125.005920410156,686,"2016_banda_18"
2023,42,57.1798254491289,50.9462985992432,26.3845090012376,12.0167016983032,146.484878540039,686,"2023_banda_42"
2020,27,57.3753951075473,57.5315284729004,20.284864101011,4.51873588562012,142.064727783203,686,"2020_banda_27"
2015,43,57.4286723873706,48.9953708648682,34.6605834086682,0,165.087432861328,686,"2015_banda_43"
2018,31,57.6647707296877,57.1833000183105,21.7832438873722,0,123.228866577148,686,"2018_banda_31"
2020,48,57.6864573072762,45.6886768341064,45.8826847518796,0,221.439422607422,686,"2020_banda_48"
2021,31,57.6983437941304,44.497241973877,34.6016595835475,18.5034122467041,160.426971435547,686,"2021_banda_31"
2011,11,57.7997532335732,45.05592918396,39.3811407147743,15.6253356933594,205.334701538086,686,"2011_banda_11"
2019,38,57.8103101024127,57.4740543365479,17.9813940243316,22.1723976135254,112.970550537109,686,"2019_banda_38"
2010,37,57.8377819478338,27.7703266143799,66.4354593851846,0,283.961029052734,686,"2010_banda_37"
2010,19,57.9063284094758,51.0009956359863,37.7945328511565,3.38242697715759,220.506713867188,686,"2010_banda_19"
2018,30,58.0147053178823,24.9456062316895,75.0537734533263,0,391.942932128906,686,"2018_banda_30"
2010,17,58.0558652391239,39.9528732299805,51.3745758121744,0,237.67301940918,686,"2010_banda_17"
2017,34,58.093013673065,47.6765823364258,40.2292753512755,10.9511489868164,181.007263183594,686,"2017_banda_34"
2019,22,58.1239340451299,53.226095199585,22.0522580430381,20.2530498504639,121.098846435547,686,"2019_banda_22"
2017,17,58.1466657468946,47.7810230255127,31.9059201849837,13.0265779495239,159.487426757812,686,"2017_banda_17"
