"anio","semana","variable","criterio","validos","NA_interno_original","NA_control_calidad","Dato_fuera_Valle"
2011,29,"precipitacion","interseccion",787,0,2,0
2011,30,"precipitacion","interseccion",787,0,2,0
2011,31,"precipitacion","interseccion",787,0,2,0
2011,32,"precipitacion","interseccion",787,0,2,0
2011,33,"precipitacion","interseccion",787,0,2,0
2011,34,"precipitacion","interseccion",787,0,2,0
2011,35,"precipitacion","interseccion",787,0,2,0
2011,36,"precipitacion","interseccion",787,0,2,0
2011,37,"precipitacion","interseccion",787,0,2,0
2011,38,"precipitacion","interseccion",787,0,2,0
2011,39,"precipitacion","interseccion",787,0,2,0
2011,40,"precipitacion","interseccion",787,0,2,0
2011,41,"precipitacion","interseccion",787,0,2,0
2011,42,"precipitacion","interseccion",787,0,2,0
2011,43,"precipitacion","interseccion",787,0,2,0
2011,44,"precipitacion","interseccion",787,0,2,0
2011,45,"precipitacion","interseccion",787,0,2,0
2011,46,"precipitacion","interseccion",787,0,2,0
2011,47,"precipitacion","interseccion",787,0,2,0
2011,48,"precipitacion","interseccion",787,0,2,0
2011,49,"precipitacion","interseccion",787,0,2,0
2011,50,"precipitacion","interseccion",787,0,2,0
2011,51,"precipitacion","interseccion",787,0,2,0
2011,52,"precipitacion","interseccion",787,0,2,0
2011,1,"temperatura","centro",122,564,0,10
2011,2,"temperatura","centro",122,564,0,10
2011,3,"temperatura","centro",122,564,0,10
2011,4,"temperatura","centro",122,564,0,10
2011,5,"temperatura","centro",122,564,0,10
2011,6,"temperatura","centro",122,564,0,10
2011,7,"temperatura","centro",122,564,0,10
2011,8,"temperatura","centro",122,564,0,10
2011,9,"temperatura","centro",122,564,0,10
2011,10,"temperatura","centro",122,564,0,10
2011,11,"temperatura","centro",122,564,0,10
2011,12,"temperatura","centro",122,564,0,10
2011,13,"temperatura","centro",122,564,0,10
2011,14,"temperatura","centro",122,564,0,10
2011,15,"temperatura","centro",122,564,0,10
2011,16,"temperatura","centro",122,564,0,10
2011,17,"temperatura","centro",122,564,0,10
2011,18,"temperatura","centro",122,564,0,10
2011,19,"temperatura","centro",122,564,0,10
2011,20,"temperatura","centro",122,564,0,10
2011,21,"temperatura","centro",122,564,0,10
2011,22,"temperatura","centro",122,564,0,10
2011,23,"temperatura","centro",122,564,0,10
2011,24,"temperatura","centro",122,564,0,10
2011,25,"temperatura","centro",122,564,0,10
2011,26,"temperatura","centro",122,564,0,10
2011,27,"temperatura","centro",122,564,0,10
2011,28,"temperatura","centro",122,564,0,10
2011,29,"temperatura","centro",122,564,0,10
2011,30,"temperatura","centro",122,564,0,10
2011,31,"temperatura","centro",122,564,0,10
2011,32,"temperatura","centro",122,564,0,10
2011,33,"temperatura","centro",122,564,0,10
2011,34,"temperatura","centro",122,564,0,10
2011,35,"temperatura","centro",122,564,0,10
2011,36,"temperatura","centro",122,564,0,10
2011,37,"temperatura","centro",122,564,0,10
2011,38,"temperatura","centro",122,564,0,10
2011,39,"temperatura","centro",122,564,0,10
2011,40,"temperatura","centro",122,564,0,10
2011,41,"temperatura","centro",122,564,0,10
2011,42,"temperatura","centro",122,564,0,10
2011,43,"temperatura","centro",122,564,0,10
2011,44,"temperatura","centro",122,564,0,10
2011,45,"temperatura","centro",122,564,0,10
2011,46,"temperatura","centro",122,564,0,10
2011,47,"temperatura","centro",122,564,0,10
2011,48,"temperatura","centro",122,564,0,10
2011,49,"temperatura","centro",122,564,0,10
2011,50,"temperatura","centro",122,564,0,10
2011,51,"temperatura","centro",122,564,0,10
2011,52,"temperatura","centro",122,564,0,10
2011,1,"temperatura","interseccion",132,657,0,0
2011,2,"temperatura","interseccion",132,657,0,0
2011,3,"temperatura","interseccion",132,657,0,0
2011,4,"temperatura","interseccion",132,657,0,0
2011,5,"temperatura","interseccion",132,657,0,0
2011,6,"temperatura","interseccion",132,657,0,0
2011,7,"temperatura","interseccion",132,657,0,0
2011,8,"temperatura","interseccion",132,657,0,0
2011,9,"temperatura","interseccion",132,657,0,0
2011,10,"temperatura","interseccion",132,657,0,0
2011,11,"temperatura","interseccion",132,657,0,0
2011,12,"temperatura","interseccion",132,657,0,0
2011,13,"temperatura","interseccion",132,657,0,0
2011,14,"temperatura","interseccion",132,657,0,0
2011,15,"temperatura","interseccion",132,657,0,0
2011,16,"temperatura","interseccion",132,657,0,0
2011,17,"temperatura","interseccion",132,657,0,0
2011,18,"temperatura","interseccion",132,657,0,0
2011,19,"temperatura","interseccion",132,657,0,0
2011,20,"temperatura","interseccion",132,657,0,0
2011,21,"temperatura","interseccion",132,657,0,0
2011,22,"temperatura","interseccion",132,657,0,0
2011,23,"temperatura","interseccion",132,657,0,0
2011,24,"temperatura","interseccion",132,657,0,0
2011,25,"temperatura","interseccion",132,657,0,0
2011,26,"temperatura","interseccion",132,657,0,0
2011,27,"temperatura","interseccion",132,657,0,0
2011,28,"temperatura","interseccion",132,657,0,0
2011,29,"temperatura","interseccion",132,657,0,0
2011,30,"temperatura","interseccion",132,657,0,0
2011,31,"temperatura","interseccion",132,657,0,0
2011,32,"temperatura","interseccion",132,657,0,0
2011,33,"temperatura","interseccion",132,657,0,0
2011,34,"temperatura","interseccion",132,657,0,0
2011,35,"temperatura","interseccion",132,657,0,0
2011,36,"temperatura","interseccion",132,657,0,0
2011,37,"temperatura","interseccion",132,657,0,0
2011,38,"temperatura","interseccion",132,657,0,0
2011,39,"temperatura","interseccion",132,657,0,0
2011,40,"temperatura","interseccion",132,657,0,0
2011,41,"temperatura","interseccion",132,657,0,0
2011,42,"temperatura","interseccion",132,657,0,0
2011,43,"temperatura","interseccion",132,657,0,0
2011,44,"temperatura","interseccion",132,657,0,0
2011,45,"temperatura","interseccion",132,657,0,0
2011,46,"temperatura","interseccion",132,657,0,0
2011,47,"temperatura","interseccion",132,657,0,0
2011,48,"temperatura","interseccion",132,657,0,0
2011,49,"temperatura","interseccion",132,657,0,0
