"celda","x","y","dentro_valle","precipitacion","temperatura","radiacion","altitud","disponible_precipitacion","disponible_temperatura","disponible_radiacion","disponible_altitud","caso_completo_4_variables","anio","semana"
619,-76.224998453632,4.17499931715429,TRUE,0,21.3662815093994,NA,942.686706542969,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
620,-76.1749984528869,4.17499931715429,TRUE,0,NA,NA,968.035400390625,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
621,-76.1249984521419,4.17499931715429,TRUE,0,NA,NA,1053.16821289062,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
622,-76.0749984513968,4.17499931715429,TRUE,0,NA,NA,1175.736328125,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
623,-76.0249984506518,4.17499931715429,TRUE,0,NA,NA,1243.7666015625,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
624,-75.9749984499067,4.17499931715429,TRUE,4.4750919342041,NA,NA,1377.08349609375,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
625,-75.9249984491616,4.17499931715429,TRUE,0,NA,NA,1843.10424804688,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
626,-75.8749984484166,4.17499931715429,TRUE,0,NA,NA,2064.24365234375,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
632,-77.4249984715134,4.12499931640923,TRUE,0,NA,NA,11.1069231033325,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
633,-77.3749984707683,4.12499931640923,TRUE,0,NA,NA,33.3020477294922,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
634,-77.3249984700233,4.12499931640923,TRUE,0,NA,NA,44.0760688781738,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
635,-77.2749984692782,4.12499931640923,TRUE,0,NA,NA,45.3861351013184,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
636,-77.2249984685332,4.12499931640923,TRUE,0,NA,NA,44.725414276123,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
637,-77.1749984677881,4.12499931640923,TRUE,0,NA,NA,51.4895820617676,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
638,-77.124998467043,4.12499931640923,TRUE,0,NA,NA,40.5199432373047,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
652,-76.4249984566122,4.12499931640923,TRUE,0,NA,NA,1952.27136230469,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
653,-76.3749984558672,4.12499931640923,TRUE,0,NA,NA,1414.6611328125,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
654,-76.3249984551221,4.12499931640923,TRUE,0,NA,NA,1147.91540527344,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
655,-76.2749984543771,4.12499931640923,TRUE,0,21.0942821502686,NA,945.115600585938,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
656,-76.224998453632,4.12499931640923,TRUE,0,21.0942821502686,NA,941.107849121094,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
657,-76.1749984528869,4.12499931640923,TRUE,0,NA,NA,997.589050292969,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
658,-76.1249984521419,4.12499931640923,TRUE,0,NA,NA,1089.72973632812,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
659,-76.0749984513968,4.12499931640923,TRUE,0,NA,NA,1389.56604003906,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
660,-76.0249984506518,4.12499931640923,TRUE,0,NA,NA,1416.64794921875,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
